Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Fletcher's	100	1	1	1		15				3	300	skilltab	0	1	1										armo	weap											0	0
Bowyer's	100	1	1	40		30				12	300	skilltab	0	2	2										armo	weap											0	0
Archer's	100	1		60		45				10	300	skilltab	0	3	3										armo	weap											0	0
Acrobat's	100	1	1	1		15				3	301	skilltab	1	1	1										armo	weap											0	0
Gymnast's	100	1	1	40		30				12	301	skilltab	1	2	2										armo	weap											0	0
Athlete's	100	1		60		45				10	301	skilltab	1	3	3										armo	weap											0	0
Harpoonist's	100	1	1	1		15				3	302	skilltab	2	1	1										armo	weap											0	0
Spearmaiden's	100	1	1	40		30				12	302	skilltab	2	2	2										armo	weap											0	0
Lancer's	100	1		60		45				10	302	skilltab	2	3	3										armo	weap											0	0
of the Jackal	100	1	1	1		3				6	303	hp		5	5										armo	weap											0	0
of the Fox	100	1	1	11		8				5	303	hp		10	10										armo	weap											0	0
of the Wolf	100	1	1	27		20				12	303	hp		20	20										armo	weap											0	0
of the Tiger	100	1	1	43		35				18	303	hp		30	30										armo	weap											0	0
of the Mammoth	100	1	1	59		51				12	303	hp		40	40										armo	weap											0	0
of the Colossus	100	1		75		67				10	303	hp		59	60										armo	weap											0	0
Lizard's	100	1	1	3		2				4	303	mana		5	5										armo	weap											0	0
Snake's	100	1	1	12		9				3	303	mana		10	10										armo	weap											0	0
Serpent's	100	1	1	23		16				6	303	mana		20	20										armo	weap											0	0
Drake's	100	1	1	34		26				6	303	mana		30	30									cblu	armo	weap											0	0
Dragon's	100	1	1	45		37				6	303	mana		40	40									cblu	armo	weap											0	0
Wyrm's	100	1	1	56		48				6	303	mana		59	60									cblu	armo	weap											0	0
Great Wyrm's	100	1		67		59				10	303	mana		79	80									cblu	armo	weap											0	0
Shimmering	100	1	1	1		3				8	304	res-all		10	10										armo	weap											0	0
Rainbow	100	1	1	18		13				7	304	res-all		15	15										armo	weap											0	0
Scintillating	100	1	1	28		21				18	304	res-all		29	30										armo	weap											0	0
Prismatic	100	1	1	39		31				15	304	res-all		34	35										armo	weap											0	0
Chromatic	100	1		50		42				24	304	res-all		44	45										armo	weap											0	0
Sharp	100	1	1	10		5				3	304	att		29	30	dmg%		19	20						armo	weap											0	0
Fine	100	1	1	18		13				3	304	att		58	60	dmg%		30	30						armo	weap											0	0
Warrior's	100	1	1	30		23				6	304	att		79	80	dmg%		40	40						armo	weap											0	0
Soldier's	100	1	1	42		34				12	304	att		99	100	dmg%		50	50						armo	weap											0	0
Knight's	100	1	1	50		42				12	304	att		119	121	dmg%		64	65					dgld	armo	weap											0	0
of Blight	100	1	1	1		3				3	305	pois-min		8	8	pois-max		24	24	pois-len		75	75		armo	weap											0	0
of Venom	100	1	1	15		11				2	305	pois-min		16	16	pois-max		48	48	pois-len		75	75		armo	weap											0	0
of Pestilence	100	1	1	25		18				6	305	pois-min		32	32	pois-max		72	72	pois-len		100	100		armo	weap											0	0
of Anthrax	100	1		33		25				6	305	pois-min		64	64	pois-max		128	128	pois-len		100	100		armo	weap											0	0
of Shadows	100	1	1	1		3				3	306	dmg-mag		5	5										armo	weap											0	0
of Darkness	100	1	1	15		11				2	306	dmg-mag		10	10										armo	weap											0	0
of Despair	100	1	1	25		18				6	306	dmg-mag		20	20										armo	weap											0	0
of Nightmares	100	1		33		25				6	306	dmg-mag		30	30										armo	weap											0	0
of Ember	100	1	1	1		3				3	306	fire-min		3	3	fire-max		8	8			3	5		armo	weap											0	0
of Cinders	100	1	1	15		11				2	306	fire-min		5	5	fire-max		16	16			6	10		armo	weap											0	0
of Flames	100	1	1	25		18				6	306	fire-min		8	8	fire-max		18	18			11	20		armo	weap											0	0
of Inferno	100	1		33		25				6	306	fire-min		16	16	fire-max		32	32			21	30		armo	weap											0	0
