index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0		1					1	1	7	5	hax	Hand Axe	0	5	5000	dyel			invhaxu				str		8	8	openwounds		50	50	crush		20	20	dmg%		68	70																																		0
Deathspade	1	0		1					1	1	12	9	axe	Axe	0	5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		68	70																														0
Bladebone	2	0		1					1	1	20	15	2ax	Double Axe	0	5	5000	lgry	lgry						dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		45	50																						0
Mindrend	3	0		1					1	1	28	21	mpi	Military Pick	0	5	5000	lgrn			invmpiu				stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		15	15	att		88	100	dmg%		90	100	openwounds		15	15																						0
Rakescar	4	0		1					1	1	36	27	wax	War Axe	0	5	5000	dgry	dgry						pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		132	150	swing2		30	30																						0
Fechmars Axe	5	0		1					1	1	11	8	lax	Large Axe	0	5	5000	lpur	lpur						dmg%		85	90	freeze		3	3	res-cold		50	50	light		2	2																																		0
Goreshovel	6	0		1					1	1	19	14	bax	Broad Axe	0	5	5000	dpur	dpur						swing3		30	30	str		25	25	openwounds		60	60	dmg%		48	50	dmg-max		9	9																														0
The Chieftan	7	0		1					1	1	26	19	btx	Battle Axe	0	5	5000	oran			invbtxu				dmg%		100	100	res-all		18	20	mana-kill		6	6	swing2		20	20	dmg-ltng		31	40																														0
Brainhew	8	0		1					1	1	34	25	gax	Great Axe	0	5	5000	whit			invgaxu				dmg-min		14	14	mana		25	25	light		4	4	manasteal		13	13	dmg%		73	80	dmg-fire		30	35																										0
The Humongous	9	0		1					1	1	39	29	gix	Giant Axe	0	5	5000	blac	blac						str		28	30	dmg-min		8	8	dmg-max		23	25	crush		33	33	ease		20	20	dmg%		110	120																										0
